scientific_name,swedish_names,english_names,cl_number,breeding_class,existing_import,needs_swedish_name,source_scientific_names,source_rows
Amatitlania nanolutea,Gul zebraciklid,,,bronze,no,no,Amatitlania nanolutea,1
Ancistrus sp.,Ancistrus,,,bronze,no,no,Ancistrus sp.,10
Ancistrus sp.,Brilliant skäggmunsmal,Brilliant bristlenose,L184,bronze,no,no,Ancistrus sp.,1
Ancistrus sp.,Kiefner 2,,L519,bronze,no,no,Ancistrus sp.,2
Andinoacara pulcher,Blå ciklid,Blue acara,,bronze,no,no,Andinoacara pulcher,1
Apistogramma borellii,Gul dvärgciklid,,,silver,no,no,Apistogramma borellii,1
Apistogramma macmasteri,,,,silver,no,yes,Apistogramma Macmasteri,1
Apistogramma norberti,,,,gold,no,yes,Apistogramma norberti,1
Apistogramma sp. D21,,,,gold,no,yes,Apistogramma sp. D21,1
Aspidoras fuscoguttatus,,,,silver,no,yes,Aspidoras fuscoguttatus,1
Aspidoras poecilus,,,,silver,no,yes,Aspidoras poecilus,3
Aspidoras raimundi,,,,silver,no,yes,Aspidoras raimundi,2
Aspidoras spilotus,,,C125,silver,no,yes,Aspidoras Spilotus,2
Australoheros scitulus,Scitulusciklid,,,bronze,no,no,Australoheros scitulus,1
Badis singenensis,Badis sp. ´Buxar´,,,silver,no,no,Badis singenensis,1
Boraras maculatus,Dvärg rasbora,,,silver,no,no,Boraras Maculatus,3
Boraras naevus,Jordgubbs rasbora,,,silver,no,no,Boraras naevus,2
Brochis bethanae,,,,gold,no,yes,Brochis bethanae,1
Caridina cf. cantonensis,,,,bronze,no,yes,Caridina cf. cantonensis,1
Carinotetraodon travancoricus,Dvärg kulfisk,,,gold,no,no,Carinotetraodon travancoricus,1
Channa asiatica,Liten ormhuvudsfisk,,,bronze,no,no,Channa asiatica,1
Chindongo socolofi,Socolofi,,,bronze,no,no,Chindongo socolofi,1
Chromaphyosemion bivittatum,Tvåstrecks lyrstjärtskilli,,,bronze,no,no,Chromaphyosemion bivittatum,1
Chromaphyosemion splendopleure,Splendid killi,,,bronze,no,no,Chromaphyosemion splendopleure,1
Cleithracara maronii,Nyckelhålsciklid,Keyhole cichlid,,silver,no,no,Cleithracara maronii,1
Corydoras aurofrenatus,,,,gold,no,yes,Corydoras aurofrenatus,1
Corydoras sp.,,,C124,silver,no,yes,Corydoras sp. C124,2
Danio margaritatus,Galaxyrasbora,,,silver,no,no,Danio margaritatus,1
Danio rerio,Zebrafisk | Leoparddanio,Zebrafish | Zebra danio,,bronze,yes,no,Danio rerio,1
Desmocaris trispinosa,Nigeriansk hängande räka,,,bronze,no,no,Desmocaris trispinosa,1
Fundulopanchax gardneri clauseni akure,,,,bronze,no,yes,Fundulopanchax gardneri clauseni akure,1
Fundulopanchax scheeli,,,,bronze,no,yes,Fundulopanchax scheeli,1
Gastrodermus nanus,Corydoras,,,gold,no,no,Corydoras Nanus,2
Gastrodermus napoensis,,,,silver,no,yes,Gastrodermus napoensis,1
Gastrodermus pygmaeus,Pygmepansarmal,,,silver,no,no,Gastrodermus pygmaeus,3
Geophagus brasiliensis,Brasiliansk jordätare,,,bronze,no,no,Geophagus brasiliensis,2
Hoplisoma burgessi,,,,silver,no,yes,Hoplisoma burgessi,1
Hoplisoma carlae,,,,gold,no,yes,Hoplisoma carlae,1
Hoplisoma concolor,,,,silver,no,yes,Hoplisoma concolor,1
Hoplisoma davidsandsi,,,,silver,no,yes,Hoplisoma davidsandsi,1
Hoplisoma duplicareum,,Broad stripe cory,,gold,no,yes,Corydoras duplicareus | Hoplisoma duplicareum,2
Hoplisoma eversi,,,,silver,no,yes,Hoplisoma eversi,1
Hoplisoma gossei,,,,gold,no,yes,Hoplisoma gossei,1
Hoplisoma gryphus,,,,silver,no,yes,Hoplisoma gryphus,1
Hoplisoma habrosum,,,,silver,no,yes,Hoplisoma habrosum,2
Hoplisoma longipinne,,,,gold,no,yes,Hoplisoma longipinne,1
Hoplisoma metae,,,,silver,no,yes,Hoplisoma metae,2
Hoplisoma oiapoquense,,,,gold,no,yes,Hoplisoma oiapoquense,1
Hoplisoma paleatum,Fläckig pansarmal,Peppered corydoras | Peppered cory,,bronze,yes,no,Corydoras Paleatus,1
Hoplisoma panda,"Panda, Snow white",,,bronze,no,no,Hoplisoma panda,4
Hoplisoma polystictum,,,,gold,no,yes,Hoplisoma polystictum,2
Hoplisoma simile,,,,silver,no,yes,Hoplisoma simile | Hoplisoma similis,3
Hoplisoma sp.,,,C150,gold,no,yes,Hoplisoma sp. C150,1
Hoplisoma sp.,,,CW140,silver,no,yes,Hoplisoma sp. CW140,2
Hoplisoma sterbai,,,,silver,no,yes,Hoplisoma sterbai,4
Hoplisoma weitzmani,,,,gold,no,yes,Hoplisoma weitzmani,3
Hypancistrus seideli,L333 | Gul kungtigerspleco,L333,L333,gold,no,no,Hypancistrus sp.,3
Hyphessobrycon flammeus,Riotetra,,,bronze,no,no,Hyphessobrycon flammeus,1
Hyphessobrycon pulchripinnis,Citrontetra,Lemon tetra,,bronze,no,no,Hyphessobrycon pulchripinnis,1
Hypsophrys nicaraguensis,,,,silver,no,yes,Hypsophrys nicaraguensis,1
Ivanacara bimaculata,Praktacara,,,silver,no,no,Ivanacara bimaculata,2
Julidochromis ornatus,Gul julle,,,bronze,no,no,Julidochromis ornatus,1
Labeotropheus trewavasae,,,,bronze,no,yes,Labeotropheus trewavasae,1
Labidochromis caeruleus,,,,bronze,no,yes,Labidochromis caeruleus,2
"Labidochromis sp. ""hongi""",Hongi,,,bronze,no,no,Labidochromis sp. “hongi”,1
"Labidochromis sp. ""perlmutt""",Perlmutt,,,bronze,no,no,Labidochromis sp. “perlmutt”,1
Lamprologus meleagris,,,,silver,no,yes,Lamprologus meleagris,1
Lamprologus ocellatus,,,,silver,no,yes,Lamprologus Ocellatus | Neolamprologus ocellatus,2
Lepidiolamprologus boulengeri,Boulengers snäckskalsciklid,,,silver,no,no,Lepidiolamprologus boulengeri,1
Macrobrachium dayanum,,,,bronze,no,yes,Macrobrachium dayanum,1
Mikrogeophagus ramirezi,Fjärilsciklid,Ram cichlid | German blue ram,,silver,yes,no,Mikrogeophagus ramirezi,1
Moenkhausia pittieri,Diamanttetra | Briljant tetra,,,silver,no,no,Moenkhausia pittieri,2
Nanochromis teugelsi,,,,silver,no,yes,Nanochromis teugelsi,1
Neocaridina davidi,Körsbärsräka,,,bronze,no,no,Neocaridina davidi | Neocaridina davidii,4
Neoheterandria elegans,,Orange dwarf toothcarp,,silver,no,yes,Neoheterandria elegans,1
Neolamprologus brichardi,Prinsessan av burundi,,,bronze,no,no,Neolamprologus brichardi,1
Neolamprologus multifasciatus,,,,bronze,no,yes,Lamprologus multifasciatus,1
Osteogaster aenea,Metallpansarmal | Bronspansarmal,Bronze corydoras | Bronze cory,,bronze,yes,no,Osteogaster aenea,1
Osteogaster schultzei,,,,gold,no,yes,Osteogaster schultzei,1
Osteogaster sp.,,Green Laser Cory,CW009,gold,no,yes,Osteogaster sp. CW009,3
Osteogaster sp.,Orangebandad pansarmal,Gold Laser Cory,CW010,silver,no,no,Osteogaster sp. CW010,3
Osteogaster sp.,,,CW014,gold,no,yes,Osteogaster sp. CW014,3
Osteogaster venezuelanus,,,,silver,no,yes,Osteogaster venezuelanus,1
Osteogaster zygata,,,,silver,no,yes,Osteogaster zygata,1
Panaqolus sp.,L397,L397 Alenquer Tiger Pleco,L397,gold,no,no,Panaqolus sp.,1
Pelvicachromis pulcher,Palettciklid,Kribensis | Rainbow krib,,bronze,yes,no,Pelvicachromis pulcher,1
Phalloceros caudimaculatus,,Dusky millions fish,,bronze,no,yes,Phalloceros caudimaculatus,1
Platystacus cotylephorus,Spräcklig banjomal,,,gold,no,no,Platystacus cotylephorus,1
Poecilia latipinna,Ballongmolly | Silvermolly,,,bronze,no,no,Poecilia latipinna,1
Poecilia obscura,,Trinidad guppy,,silver,no,yes,Poecilia obscura,2
Poecilia reticulata,Guppy | Miljonfisk | Gupp mix,Guppy | Millionfish,,bronze,yes,no,Poecilia reticulata,11
Poecilia salvatoris,Liberty molly,,,bronze,no,no,Poecilia salvatoris,1
Poecilia sphenops,Molly | Svart molly | Black Molly,Molly | Black molly,,bronze,yes,no,Poecilia sphenops,2
Poecilia wingei,Endlers guppy | Guppy,,,bronze,no,no,Poecilia wingei,6
Pseudomugil luminatus,Red neon,,,bronze,no,no,Pseudomugil luminatus,1
Pterophyllum altum,Altum orrinoco,,,gold,no,no,Pterophyllum altum,1
Puntius titteya,Kopparbarb,Cherry barb,,bronze,no,no,Puntius titteya,1
Scleromystax barbatus,,,,silver,no,yes,Scleromystax barbatus,1
Scleromystax sp.,,,CW038,gold,no,yes,Scleromystax sp.,1
Steatocranus casuarius,,Lionhead cichlid,,bronze,no,yes,Steatocranus casuarius,1
Tanichthys micagemmae,Dvärgkardinal,,,bronze,no,no,Tanichthys micagemmae,1
Trichopodus trichopterus,Blå gurami | Trepunktsgurami | Blå Marmorgurami,Three spot gourami | Blue gourami,,bronze,yes,no,Trichopodus trichopterus,1
Trichromis salvini,Salvini ciklid,Yellow belly cichlid,,silver,no,no,Cichlasoma salvini,1
Xiphophorus hellerii,Svärdbärare | Röd svärdbärare,Swordtail | Green swordtail,,bronze,yes,no,Xiphophorus hellerii | Xiphophorus helleri,5
Xiphophorus maculatus,Platy,Platy | Southern platyfish,,bronze,yes,no,Xiphophorus maculatus,3
Xiphophorus montezumae,Montezuma svärdbärare,,,silver,no,no,Xiphophorus montezumae,1
Xiphophorus nezahualcoyotl,Nordlig bergsvärdbärare,,,bronze,no,no,Xiphophorus nezahualcoyotl,2
Xiphophorus variatus,Indianplaty | Variabel platy,Variable platyfish,,bronze,no,no,Xiphophorus variatus,1
